Player Name,Span,Mat,Inns,NO,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0s,4s,6s,Team name,Nation,status
Babar Azam,2016-2021,58,56,8,2070,90*,43.12,1703,121.55,0,21,6,219,35,(Karachi Kings),Pakistan,good_performer
Kamran Akmal,2016-2021,69,68,2,1820,107*,27.57,1330,136.84,3,11,8,197,84,(Peshawar Zalmi),Pakistan,good_performer
Shoaib Malik,2016-2021,61,57,11,1481,73,32.19,1156,128.11,0,9,4,103,58,(Peshawar Zalmi),Pakistan,good_performer
SR Watson,2016-2020,46,46,4,1361,91*,32.4,982,138.59,0,9,2,123,81,(Quetta Gladiators),Australia,good_performer
Fakhar Zaman,2017-2021,50,50,1,1351,94,27.57,1012,133.49,0,9,3,137,53,(Lahore Qalandars),Pakistan,good_performer
Mohammad Hafeez,2016-2021,58,55,8,1273,98*,27.08,1050,121.23,0,8,4,119,51,(Peshawar Zalmi),Pakistan,good_performer
Sarfaraz Ahmed,2016-2021,62,53,15,1189,81,31.28,927,128.26,0,6,2,109,23,(Quetta Gladiators),Pakistan,good_performer
RR Rossouw,2017-2021,52,49,12,1139,100*,30.78,846,134.63,1,4,3,105,41,(Quetta Gladiators),South Africa,good_performer
Ahmed Shehzad,2016-2020,45,43,2,1077,99,26.26,897,120.06,0,9,4,109,32,(Quetta Gladiators),Pakistan,good_performer
L Ronchi,2018-2020,31,31,3,1020,94*,36.42,614,166.12,0,10,4,116,50,(Islamabad United),New Zealand,power_hitter
Mohammad Rizwan,2016-2021,47,36,8,900,82*,32.14,736,122.28,0,5,2,82,22,(Multan Sultans),Pakistan,average_performer
Asif Ali,2016-2021,55,46,12,879,75,25.85,535,164.29,0,3,3,54,68,(Islamabad United),Pakistan,power_hitter
CS Delport,2016-2021,39,38,2,873,117*,24.25,688,126.88,1,5,6,80,33,(Quetta Gladiators),South Africa,good_performer
Sharjeel Khan,2016-2021,35,34,2,854,117,26.68,590,144.74,2,3,2,76,58,(Karachi Kings),Pakistan,power_hitter
Umar Akmal,2016-2019,32,30,5,833,93,33.32,604,137.91,0,7,3,66,42,(Quetta Gladiators),Pakistan,power_hitter
Sohaib Maqsood,2016-2021,36,34,7,831,85*,30.77,630,131.9,0,7,3,70,41,(Peshawar Zalmi),Pakistan,average_performer
CA Ingram,2018-2021,37,35,8,819,127*,30.33,558,146.77,1,3,2,69,40,(Karachi Kings),South Africa,power_hitter
RS Bopara,2016-2021,39,36,9,775,71*,28.7,658,117.78,0,5,1,63,18,(Peshawar Zalmi),England,average_performer
Sohail Akhtar,2018-2021,42,40,9,774,75,24.96,628,123.24,0,3,2,77,30,(Lahore Qalandars),Pakistan,good_performer
DR Smith,2016-2019,28,25,4,701,73,33.38,611,114.72,0,5,1,67,31,(Quetta Gladiators),West Indies,average_performer
DJG Sammy,2016-2020,49,39,12,691,48,25.59,472,146.39,0,0,2,48,44,(Peshawar Zalmi),West Indies,power_hitter
JM Vince,2016-2021,25,25,1,671,84,27.95,487,137.78,0,3,1,80,21,(Multan Sultans),England,power_hitter
KA Pollard,2017-2019,33,30,10,650,73,32.5,391,166.24,0,3,2,48,44,(Peshawar Zalmi),West Indies,power_hitter
C Munro,2019-2021,23,23,3,628,90*,31.4,413,152.05,0,5,4,64,30,(Karachi Kings),New Zealand,power_hitter
Hussain Talat,2017-2021,40,32,5,619,56,22.92,525,117.9,0,1,2,48,17,(Islamabad United),Pakistan,average_performer
